PRODUCT SERVICE CODE,DESCRIPTION,NAICS
AG82,R&D - Energy: Conservation (Applied Research / Exploratory Development),"541711,541712"
AG83,R&D - Energy: Conservation (Advanced Development),"541711,541712"
AG84,R&D - Energy: Conservation (Engineering Development),"541711,541712"
AG85,R&D - Energy: Conservation (Operational Systems Development),"541711,541712"
AG86,R&D - Energy: Conservation (Management / Support),"541711,541712"
AG87,R&D - Energy: Conservation (Commercialized),"541711,541712"
AG91,R&D - Energy: Other (Basic Research),"541711,541712"
AG92,R&D - Energy: Other (Applied Research / Exploratory Development),"541711,541712"
AG93,R&D - Energy: Other (Advanced Development),"541711,541712"
AG94,R&D - Energy: Other (Engineering Development),"541711,541712"
AG95,R&D - Energy: Other (Operational Systems Development),"541711,541712"
AG96,R&D - Energy: Other (Management / Support),"541711,541712"
AG97,R&D - Energy: Other (Commercialized),"541711,541712"
AH11,R&D - Environmental Protection: Pollution Control / Abatement (Basic Research),"541711,541712"
AH12,R&D - Environ Protection: Pollution Control / Abatement (Applied Research / Exploratory Development),"541711,541712"
AH13,R&D - Environmental Protection: Pollution Control / Abatement (Advanced Development),"541711,541712"
AH14,R&D - Environmental Protection: Pollution Control / Abatement (Engineering Development),"541711,541712"
AH15,R&D - Environmental Protection: Pollution Control / Abatement (Operational Systems Development),"541711,541712"
AH16,R&D - Environmental Protection: Pollution Control / Abatement (Management / Support),"541711,541712"
AH17,R&D - Environmental Protection: Pollution Control / Abatement (Commercialized),"541711,541712"
AH21,R&D - Environmental Protection: Air Pollution (Basic Research),"541711,541712"
AH22,R&D - Environmental Protection: Air Pollution (Applied Research / Exploratory Development),"541711,541712"
AH23,R&D - Environmental Protection: Air Pollution (Advanced Development),"541711,541712"
AH24,R&D - Environmental Protection: Air Pollution (Engineering Development),"541711,541712"
AH25,R&D - Environmental Protection: Air Pollution (Operational Systems Development),"541711,541712"
AH26,R&D - Environmental Protection: Air Pollution (Management / Support),"541711,541712"
AH27,R&D - Environmental Protection: Air Pollution (Commercialized),"541711,541712"
AH31,R&D - Environmental Protection: Water Pollution (Basic Research),"541711,541712"
AH32,R&D - Environmental Protection: Water Pollution (Applied Research / Exploratory Development),"541711,541712"
AH33,R&D - Environmental Protection: Water Pollution (Advanced Development),"541711,541712"
AH34,R&D - Environmental Protection: Water Pollution (Engineering Development),"541711,541712"
AH35,R&D - Environmental Protection: Water Pollution (Operational Systems Development),"541711,541712"
AH36,R&D - Environmental Protection: Water Pollution (Management / Support),"541711,541712"
AH37,R&D - Environmental Protection: Water Pollution (Commercialized),"541711,541712"
AH41,R&D - Environmental Protection: Noise Pollution (Basic Research),"541711,541712"
AH42,R&D - Environmental Protection: Noise Pollution (Applied Research / Exploratory Development),"541711,541712"
AH43,R&D - Environmental Protection: Noise Pollution (Advanced Development),"541711,541712"
AH44,R&D - Environmental Protection: Noise Pollution (Engineering Development),"541711,541712"
AH45,R&D - Environmental Protection: Noise Pollution (Operational Systems Development),"541711,541712"
AH46,R&D - Environmental Protection: Noise Pollution (Management / Support),"541711,541712"
AH47,R&D - Environmental Protection: Noise Pollution (Commercialized),"541711,541712"
AH91,R&D - Environmental Protection: Other (Basic Research),"541711,541712"
AH92,R&D - Environmental Protection: Other (Applied Research / Exploratory Development),"541711,541712"
AH93,R&D - Environmental Protection: Other (Advanced Development),"541711,541712"
AH94,R&D - Environmental Protection: Other (Engineering Development),"541711,541712"
AH95,R&D - Environmental Protection: Other (Operational Systems Development),"541711,541712"
AH96,R&D - Environmental Protection: Other (Management / Support),"541711,541712"
AH97,R&D - Environmental Protection: Other (Commercialized),"541711,541712"
AJ11,R&D - General Science / Technology: Physical Sciences (Basic Research),"541711,541712"
AJ12,R&D - General Science / Technology: Physical Sciences (Applied Research / Exploratory Development),"541711,541712"
AJ13,R&D - General Science / Technology: Physical Sciences (Advanced Development),"541711,541712"
AJ14,R&D - General Science / Technology: Physical Sciences (Engineering Development),"541711,541712"
AJ15,R&D - General Science / Technology: Physical Sciences (Operational Systems Development),"541711,541712"
AJ16,R&D - General Science / Technology: Physical Sciences (Management / Support),"541711,541712"
AJ17,R&D - General Science / Technology: Physical Sciences (Commercialized),"541711,541712"
AJ21,R&D - General Science / Technology: Mathematical / Computer Sciences (Basic Research),"541711,541712"
AJ22,R&D - General Science / Technology: Mathematical / Computer Sciences (Applied Research / Exploratory Development),"541711,541712"
AJ23,R&D - General Science / Technology: Mathematical / Computer Sciences (Advanced Development),"541711,541712"
AJ24,R&D - General Science / Technology: Mathematical / Computer Sciences (Engineering Development),"541711,541712"
AJ25,R&D - General Science / Technology: Mathematical / Computer Sciences (Operational Systems Development),"541711,541712"
AJ26,R&D - General Science / Technology: Mathematical / Computer Sciences (Management / Support),"541711,541712"
AJ27,R&D - General Science / Technology: Mathematical / Computer Sciences (Commercialized),"541711,541712"
AJ31,R&D - General Science / Technology: Environmental Sciences (Basic Research),"541711,541712"
AJ32,R&D - General Science / Technology: Environmental Sciences (Applied Research / Exploratory Development),"541711,541712"
AJ33,R&D - General Science / Technology: Environmental Sciences (Advanced Development),"541711,541712"
AJ34,R&D - General Science / Technology: Environmental Sciences (Engineering Development),"541711,541712"
AJ35,R&D - General Science / Technology: Environmental Sciences (Operational Systems Development),"541711,541712"
AJ36,R&D - General Science / Technology: Environmental Sciences (Management / Support),"541711,541712"
AJ37,R&D - General Science / Technology: Environmental Sciences (Commercialized),"541711,541712"
AJ41,R&D - General Science / Technology: Engineering (Basic Research),"541711,541712"
AJ42,R&D - General Science / Technology: Engineering (Applied Research / Exploratory Development),"541711,541712"
AJ43,R&D - General Science / Technology: Engineering (Advanced Development),"541711,541712"
AJ44,R&D - General Science / Technology: Engineering (Engineering Development),"541711,541712"
AJ45,R&D - General Science / Technology: Engineering (Operational Systems Development),"541711,541712"
AJ46,R&D - General Science / Technology: Engineering (Management / Support),"541711,541712"
AJ47,R&D - General Science / Technology: Engineering (Commercialized),"541711,541712"
AJ51,R&D - General Science / Technology: Life Sciences (Basic Research),"541711,541712"
AJ52,R&D - General Science / Technology: Life Sciences (Applied Research / Exploratory Development),"541711,541712"
AJ53,R&D - General Science / Technology: Life Sciences (Advanced Development),"541711,541712"
AJ54,R&D - General Science / Technology: Life Sciences (Engineering Development),"541711,541712"
AJ55,R&D - General Science / Technology: Life Sciences (Operational Systems Development),"541711,541712"
AJ56,R&D - General Science / Technology: Life Sciences (Management / Support),"541711,541712"
AJ57,R&D - General Science / Technology: Life Sciences (Commercialized),"541711,541712"
AJ61,R&D - General Science / Technology: Psychological Sciences (Basic Research),"541711,541712"
AJ62,R&D - General Science / Technology: Psychological Sciences (Applied Research / Exploratory Development),"541711,541712"
AJ63,R&D - General Science / Technology: Psychological Sciences (Advanced Development),"541711,541712"
AJ64,R&D - General Science / Technology: Psychological Sciences (Engineering Development),"541711,541712"
AJ65,R&D - General Science / Technology: Psychological Sciences (Operational Systems Development),"541711,541712"
AJ66,R&D - General Science / Technology: Psychological Sciences (Management / Support),"541711,541712"
AJ67,R&D - General Science / Technology: Psychological Sciences (Commercialized),"541711,541712"
AJ71,R&D - General Science / Technology: Social Sciences (Basic Research),"541711,541712"
AJ72,R&D - General Science / Technology: Social Sciences (Applied Research / Exploratory Development),"541711,541712"
AJ73,R&D - General Science / Technology: Social Sciences (Advanced Development),"541711,541712"
AJ74,R&D - General Science / Technology: Social Sciences (Engineering Development),"541711,541712"
AJ75,R&D - General Science / Technology: Social Sciences (Operational Systems Development),"541711,541712"
AJ76,R&D - General Science / Technology: Social Sciences (Management / Support),"541711,541712"
AJ77,R&D - General Science / Technology: Social Sciences (Commercialized),"541711,541712"
AJ91,R&D - General Science / Technology: Other (Basic Research),"541711,541712"
AJ92,R&D - General Science / Technology: Other (Applied Research / Exploratory Development),"541711,541712"
AJ93,R&D - General Science / Technology: Other (Advanced Development),"541711,541712"
AJ94,R&D - General Science / Technology: Other (Engineering Development),"541711,541712"
AJ95,R&D - General Science / Technology: Other (Operational Systems Development),"541711,541712"
AJ96,R&D - General Science / Technology: Other (Management / Support),"541711,541712"
AJ97,R&D - General Science / Technology: Other (Commercialized),"541711,541712"
AK11,R&D - Housing: Housing (Basic Research),"541711,541712"
AK12,R&D - Housing: Housing (Applied Research / Exploratory Development),"541711,541712"
AK13,R&D - Housing: Housing (Advanced Development),"541711,541712"
AK14,R&D - Housing: Housing (Engineering Development),"541711,541712"
AK15,R&D - Housing: Housing (Operational Systems Development),"541711,541712"
AK16,R&D - Housing: Housing (Management / Support),"541711,541712"
AK17,R&D - Housing: Housing (Commercialized),"541711,541712"
AN11,R&D - Medical: Biomedical (Basic Research),"541711,541712"
AN12,R&D - Medical: Biomedical (Applied Research / Exploratory Development),"541711,541712"
AN13,R&D - Medical: Biomedical (Advanced Development),"541711,541712"
AN14,R&D - Medical: Biomedical (Engineering Development),"541711,541712"
AN15,R&D - Medical: Biomedical (Operational Systems Development),"541711,541712"
AN16,R&D - Medical: Biomedical (Management / Support),"541711,541712"
AN17,R&D - Medical: Biomedical (Commercialized),"541711,541712"
AN21,R&D - Medical: Drug Dependency (Basic Research),"541711,541712"
AN22,R&D - Medical: Drug Dependency (Applied Research / Exploratory Development),"541711,541712"
AN23,R&D - Medical: Drug Dependency (Advanced Development),"541711,541712"
AN24,R&D - Medical: Drug Dependency (Engineering Development),"541711,541712"
AN25,R&D - Medical: Drug Dependency (Operational Systems Development),"541711,541712"
AN26,R&D - Medical: Drug Dependency (Management / Support),"541711,541712"
AN27,R&D - Medical: Drug Dependency (Commercialized),"541711,541712"
AN31,R&D - Medical: Alcohol Dependency (Basic Research),"541711,541712"
AN32,R&D - Medical: Alcohol Dependency (Applied Research / Exploratory Development),"541711,541712"
AN33,R&D - Medical: Alcohol Dependency (Advanced Development),"541711,541712"
AN34,R&D - Medical: Alcohol Dependency (Engineering Development),"541711,541712"
AN35,R&D - Medical: Alcohol Dependency (Operational Systems Development),"541711,541712"
AN36,R&D - Medical: Alcohol Dependency (Management / Support),"541711,541712"
AN37,R&D - Medical: Alcohol Dependency (Commercialized),"541711,541712"
AN41,R&D - Medical: Health Services (Basic Research),"541711,541712"
AN42,R&D - Medical: Health Services (Applied Research / Exploratory Development),"541711,541712"
AN43,R&D - Medical: Health Services (Advanced Development),"541711,541712"
AN44,R&D - Medical: Health Services (Engineering Development),"541711,541712"
AN45,R&D - Medical: Health Services (Operational Systems Development),"541711,541712"
AN46,R&D - Medical: Health Services (Management / Support),"541711,541712"
AN47,R&D - Medical: Health Services (Commercialized),"541711,541712"
AN51,R&D - Medical: Mental Health (Basic Research),"541711,541712"
AN52,R&D - Medical: Mental Health (Applied Research / Exploratory Development),"541711,541712"
AN53,R&D - Medical: Mental Health (Advanced Development),"541711,541712"
AN54,R&D - Medical: Mental Health (Engineering Development),"541711,541712"
AN55,R&D - Medical: Mental Health (Operational Systems Development),"541711,541712"
AN56,R&D - Medical: Mental Health (Management / Support),"541711,541712"
AN57,R&D - Medical: Mental Health (Commercialized),"541711,541712"
AN61,R&D - Medical: Rehabilitative Engineering (Basic Research),"541711,541712"
AN62,R&D - Medical: Rehabilitative Engineering (Applied Research / Exploratory Development),"541711,541712"
AN63,R&D - Medical: Rehabilitative Engineering (Advanced Development),"541711,541712"
AN64,R&D - Medical: Rehabilitative Engineering (Engineering Development),"541711,541712"
AN65,R&D - Medical: Rehabilitative Engineering (Operational Systems Development),"541711,541712"
AN66,R&D - Medical: Rehabilitative Engineering (Management / Support),"541711,541712"
AN67,R&D - Medical: Rehabilitative Engineering (Commercialized),"541711,541712"
AN71,R&D - Medical: Specialized Medical Services (Basic Research),"541711,541712"
AN72,R&D - Medical: Specialized Medical Services (Applied Research / Exploratory Development),"541711,541712"
AN73,R&D - Medical: Specialized Medical Services (Advanced Development),"541711,541712"
AN74,R&D - Medical: Specialized Medical Services (Engineering Development),"541711,541712"
AN75,R&D - Medical: Specialized Medical Services (Operational Systems Development),"541711,541712"
AN76,R&D - Medical: Specialized Medical Services (Management / Support),"541711,541712"
AN77,R&D - Medical: Specialized Medical Services (Commercialized),"541711,541712"
AN81,R&D - Medical: Aids Research (Basic Research),"541711,541712"
AN82,R&D - Medical: Aids Research (Applied Research / Exploratory Development),"541711,541712"
AN83,R&D - Medical: Aids Research (Advanced Development),"541711,541712"
AN84,R&D - Medical: Aids Research (Engineering Development),"541711,541712"
AN85,R&D - Medical: Aids Research (Operational Systems Development),"541711,541712"
AN86,R&D - Medical: Aids Research (Management / Support),"541711,541712"
AN87,R&D - Medical: Aids Research (Commercialized),"541711,541712"
AN91,R&D - Medical: Other (Basic Research),"541711,541712"
AN92,R&D - Medical: Other (Applied Research / Exploratory Development),"541711,541712"
AN93,R&D - Medical: Other (Advanced Development),"541711,541712"
AN94,R&D - Medical: Other (Engineering Development),"541711,541712"
AN95,R&D - Medical: Other (Operational Systems Development),"541711,541712"
AN96,R&D - Medical: Other (Management / Support),"541711,541712"
AN97,R&D - Medical: Other (Commercialized),"541711,541712"
AP21,R&D - Natural Resource: Land (Basic Research),"541711,541712"
AP22,R&D - Natural Resource: Land (Applied Research / Exploratory Development),"541711,541712"
AP23,R&D - Natural Resource: Land (Advanced Development),"541711,541712"
AP24,R&D - Natural Resource: Land (Engineering Development),"541711,541712"
AP25,R&D - Natural Resource: Land (Operational Systems Development),"541711,541712"
AP26,R&D - Natural Resource: Land (Management / Support),"541711,541712"
AP27,R&D - Natural Resource: Land (Commercialized),"541711,541712"
AP31,R&D - Natural Resource: Mineral (Basic Research),"541711,541712"
AP32,R&D - Natural Resource: Mineral (Applied Research / Exploratory Development),"541711,541712"
AP33,R&D - Natural Resource: Mineral (Advanced Development),"541711,541712"
AP34,R&D - Natural Resource: Mineral (Engineering Development),"541711,541712"
AP35,R&D - Natural Resource: Mineral (Operational Systems Development),"541711,541712"
AP36,R&D - Natural Resource: Mineral (Management / Support),"541711,541712"
AP37,R&D - Natural Resource: Mineral (Commercialized),"541711,541712"
AP41,R&D - Natural Resource: Recreation (Basic Research),"541711,541712"
AP42,R&D - Natural Resource: Recreation (Applied Research / Exploratory Development),"541711,541712"
AP43,R&D - Natural Resource: Recreation (Advanced Development),"541711,541712"
AP44,R&D - Natural Resource: Recreation (Engineering Development),"541711,541712"
AP45,R&D - Natural Resource: Recreation (Operational Systems Development),"541711,541712"
AP46,R&D - Natural Resource: Recreation (Management / Support),"541711,541712"
AP47,R&D - Natural Resource: Recreation (Commercialized),"541711,541712"
AP51,R&D - Natural Resource: Marine And Oceanographic (Basic Research),"541711,541712"
AP52,R&D - Natural Resource: Marine And Oceanographic (Applied Research / Exploratory Development),"541711,541712"
AP53,R&D - Natural Resource: Marine And Oceanographic (Advanced Development),"541711,541712"
AP54,R&D - Natural Resource: Marine And Oceanographic (Engineering Development),"541711,541712"
AP55,R&D - Natural Resource: Marine And Oceanographic (Operational Systems Development),"541711,541712"
AP56,R&D - Natural Resource: Marine And Oceanographic (Management / Support),"541711,541712"
AP57,R&D - Natural Resource: Marine And Oceanographic (Commercialized),"541711,541712"
AP61,R&D - Natural Resource: Marine Fisheries (Basic Research),"541711,541712"
AP62,R&D - Natural Resource: Marine Fisheries (Applied Research / Exploratory Development),"541711,541712"
AP63,R&D - Natural Resource: Marine Fisheries (Advanced Development),"541711,541712"
AP64,R&D - Natural Resource: Marine Fisheries (Engineering Development),"541711,541712"
AP65,R&D - Natural Resource: Marine Fisheries (Operational Systems Development),"541711,541712"
AP66,R&D - Natural Resource: Marine Fisheries (Management / Support),"541711,541712"
AP67,R&D - Natural Resource: Marine Fisheries (Commercialized),"541711,541712"
AP71,R&D - Natural Resource: Atmospheric (Basic Research),"541711,541712"
AP72,R&D - Natural Resource: Atmospheric (Applied Research / Exploratory Development),"541711,541712"
AP73,R&D - Natural Resource: Atmospheric (Advanced Development),"541711,541712"
AP74,R&D - Natural Resource: Atmospheric (Engineering Development),"541711,541712"
AP75,R&D - Natural Resource: Atmospheric (Operational Systems Development),"541711,541712"
AP76,R&D - Natural Resource: Atmospheric (Management / Support),"541711,541712"
AP77,R&D - Natural Resource: Atmospheric (Commercialized),"541711,541712"
AP91,R&D - Natural Resource: Other (Basic Research),"541711,541712"
AP92,R&D - Natural Resource: Other (Applied Research / Exploratory Development),"541711,541712"
AP93,R&D - Natural Resource: Other (Advanced Development),"541711,541712"
AP94,R&D - Natural Resource: Other (Engineering Development),"541711,541712"
AP95,R&D - Natural Resource: Other (Operational Systems Development),"541711,541712"
AP96,R&D - Natural Resource: Other (Management / Support),"541711,541712"
AP97,R&D - Natural Resource: Other (Commercialized),"541711,541712"
AS21,R&D - Modal Transportation: Surface Motor Vehicles (Basic Research),"541711,541712"
AS22,R&D - Modal Transportation: Surface Motor Vehicles (Applied Research / Exploratory Development),"541711,541712"
AS23,R&D - Modal Transportation: Surface Motor Vehicles (Advanced Development),"541711,541712"
AS24,R&D - Modal Transportation: Surface Motor Vehicles (Engineering Development),"541711,541712"
AS25,R&D - Modal Transportation: Surface Motor Vehicles (Operational Systems Development),"541711,541712"
AS26,R&D - Modal Transportation: Surface Motor Vehicles (Management / Support),"541711,541712"
AS27,R&D - Modal Transportation: Surface Motor Vehicles (Commercialized),"541711,541712"
AS31,R&D - Modal Transportation: Rail (Basic Research),"541711,541712"
AS32,R&D - Modal Transportation: Rail (Applied Research / Exploratory Development),"541711,541712"
AS33,R&D - Modal Transportation: Rail (Advanced Development),"541711,541712"
AS34,R&D - Modal Transportation: Rail (Engineering Development),"541711,541712"
AS35,R&D - Modal Transportation: Rail (Operational Systems Development),"541711,541712"
AS36,R&D - Modal Transportation: Rail (Management / Support),"541711,541712"
AS37,R&D - Modal Transportation: Rail (Commercialized),"541711,541712"
AS41,R&D - Modal Transportation: Marine (Basic Research),"541711,541712"
AS42,R&D - Modal Transportation: Marine (Applied Research / Exploratory Development),"541711,541712"
AS43,R&D - Modal Transportation: Marine (Advanced Development),"541711,541712"
AS44,R&D - Modal Transportation: Marine (Engineering Development),"541711,541712"
AS45,R&D - Modal Transportation: Marine (Operational Systems Development),"541711,541712"
AS46,R&D - Modal Transportation: Marine (Management / Support),"541711,541712"
AS47,R&D - Modal Transportation: Marine (Commercialized),"541711,541712"
AS91,R&D - Modal Transportation: Other Modal (Basic Research),"541711,541712"
AS92,R&D - Modal Transportation: Other Modal (Applied Research / Exploratory Development),"541711,541712"
AS93,R&D - Modal Transportation: Other Modal (Advanced Development),"541711,541712"
AS94,R&D - Modal Transportation: Other Modal (Engineering Development),"541711,541712"
AS95,R&D - Modal Transportation: Other Modal (Operational Systems Development),"541711,541712"
AS96,R&D - Modal Transportation: Other Modal (Management / Support),"541711,541712"
AS97,R&D - Modal Transportation: Other Modal (Commercialized),"541711,541712"
AT11,"R&D - Other Transportation: Highways, Roads, And Bridges (Basic Research) ","541711,541712"
AT12,"R&D - Other Transportation: Highways, Roads, And Bridges (Applied Research / Exploratory Development) ","541711,541712"
AT13,"R&D - Other Transportation: Highways, Roads, And Bridges (Advanced Development) ","541711,541712"
AT14,"R&D - Other Transportation: Highways, Roads, And Bridges (Engineering Development) ","541711,541712"
AT15,"R&D - Other Transportation: Highways, Roads, And Bridges (Operational Systems Development) ","541711,541712"
AT16,"R&D - Other Transportation: Highways, Roads, And Bridges (Management / Support) ","541711,541712"
AT17,"R&D - Other Transportation: Highways, Roads, And Bridges (Commercialized) ","541711,541712"
AT21,R&D - Other Transportation: Human Factors Concerning Transportation (Basic Research),"541711,541712"
AT22,R&D - Other Transportation: Human Factors (Applied Research / Exploratory Development),"541711,541712"
AT23,R&D - Other Transportation: Human Factors Concerning Transportation (Advanced Development),"541711,541712"
AT24,R&D - Other Transportation: Human Factors Concerning Transportation (Engineering Development),"541711,541712"
AT25,R&D - Other Transportation: Human Factors Concerning Transportation (Operational Systems Development),"541711,541712"
AT26,R&D - Other Transportation: Human Factors Concerning Transportation (Management / Support),"541711,541712"
AT27,R&D - Other Transportation: Human Factors Concerning Transportation (Commercialized),"541711,541712"
AT31,R&D - Other Transportation: Navigation And Navigational Aids (Basic Research),"541711,541712"
AT32,R&D - Other Transportation: Navigation / Navigational Aids (Applied Research / Exploratory Development),"541711,541712"
AT33,R&D - Other Transportation: Navigation And Navigational Aids (Advanced Development),"541711,541712"
AT34,R&D - Other Transportation: Navigation And Navigational Aids (Engineering Development),"541711,541712"
AT35,R&D - Other Transportation: Navigation And Navigational Aids (Operational Systems Development),"541711,541712"
AT36,R&D - Other Transportation: Navigation And Navigational Aids (Management / Support),"541711,541712"
AT37,R&D - Other Transportation: Navigation And Navigational Aids (Commercialized),"541711,541712"
AT41,R&D - Other Transportation: Passenger Safety And Security (Basic Research),"541711,541712"
AT42,R&D - Other Transportation: Passenger Safety And Security (Applied Research / Exploratory Development),"541711,541712"
AT43,R&D - Other Transportation: Passenger Safety And Security (Advanced Development),"541711,541712"
AT44,R&D - Other Transportation: Passenger Safety And Security (Engineering Development),"541711,541712"
AT45,R&D - Other Transportation: Passenger Safety And Security (Operational Systems Development),"541711,541712"
AT46,R&D - Other Transportation: Passenger Safety And Security (Management / Support),"541711,541712"
AT47,R&D - Other Transportation: Passenger Safety And Security (Commercialized),"541711,541712"
AT51,R&D - Other Transportation: Pipeline Safety (Basic Research),"541711,541712"
AT52,R&D - Other Transportation: Pipeline Safety (Applied Research / Exploratory Development),"541711,541712"
AT53,R&D - Other Transportation: Pipeline Safety (Advanced Development),"541711,541712"
AT54,R&D - Other Transportation: Pipeline Safety (Engineering Development),"541711,541712"
AT55,R&D - Other Transportation: Pipeline Safety (Operational Systems Development),"541711,541712"
AT56,R&D - Other Transportation: Pipeline Safety (Management / Support),"541711,541712"
AT57,R&D - Other Transportation: Pipeline Safety (Commercialized),"541711,541712"
AT61,R&D - Other Transportation: Traffic Management (Basic Research),"541711,541712"
AT62,R&D - Other Transportation: Traffic Management (Applied Research / Exploratory Development),"541711,541712"
AT63,R&D - Other Transportation: Traffic Management (Advanced Development),"541711,541712"
AT64,R&D - Other Transportation: Traffic Management (Engineering Development),"541711,541712"
AT65,R&D - Other Transportation: Traffic Management (Operational Systems Development),"541711,541712"
AT66,R&D - Other Transportation: Traffic Management (Management / Support),"541711,541712"
AT67,R&D - Other Transportation: Traffic Management (Commercialized),"541711,541712"
AT71,R&D - Other Transportation: Tunnels And Other Subsurface Structures (Basic Research),"541711,541712"
AT72,R&D - Other Transportation: Tunnels / Other Subsurf Struc (Applied Research / Exploratory Development),"541711,541712"
AT73,R&D - Other Transportation: Tunnels And Other Subsurface Structures (Advanced Development),"541711,541712"
AT74,R&D - Other Transportation: Tunnels And Other Subsurface Structures (Engineering Development),"541711,541712"
AT75,R&D - Other Transportation: Tunnels And Other Subsurface Structures (Operational Systems Development),"541711,541712"
AT76,R&D - Other Transportation: Tunnels And Other Subsurface Structures (Management / Support),"541711,541712"
AT77,R&D - Other Transportation: Tunnels And Other Subsurface Structures (Commercialized),"541711,541712"
AT81,R&D - Other Transportation: Transporting Hazardous Materials (Basic Research),"541711,541712"
AT82,R&D - Other Transportation: Transporting Haz Mat (Applied Research / Exploratory Development),"541711,541712"
AT83,R&D - Other Transportation: Transporting Hazardous Materials (Advanced Development),"541711,541712"
AT84,R&D - Other Transportation: Transporting Hazardous Materials (Engineering Development),"541711,541712"
AT85,R&D - Other Transportation: Transporting Hazardous Materials (Operational Systems Development),"541711,541712"
AT86,R&D - Other Transportation: Transporting Hazardous Materials (Management / Support),"541711,541712"
AT87,R&D - Other Transportation: Transporting Hazardous Mats (Commercialized),"541711,541712"
AT91,R&D - Other Transportation: Other General (Basic Research),"541711,541712"
AT92,R&D - Other Transportation: Other General (Applied Research / Exploratory Development),"541711,541712"
AT93,R&D - Other Transportation: Other General (Advanced Development),"541711,541712"
AT94,R&D - Other Transportation: Other General (Engineering Development),"541711,541712"
AT95,R&D - Other Transportation: Other General (Operational Systems Development),"541711,541712"
AT96,R&D - Other Transportation: Other General (Management / Support),"541711,541712"
AT97,R&D - Other Transportation: Other General (Commercialized),"541711,541712"
AV11,R&D - Mining: Subsurface Mining Equipment (Basic Research),"541711,541712"
AV12,R&D - Mining: Subsurface Mining Equipment (Applied Research / Exploratory Development),"541711,541712"
AV13,R&D - Mining: Subsurface Mining Equipment (Advanced Development),"541711,541712"
AV14,R&D - Mining: Subsurface Mining Equipment (Engineering Development),"541711,541712"
AV15,R&D - Mining: Subsurface Mining Equipment (Operational Systems Development),"541711,541712"
AV16,R&D - Mining: Subsurface Mining Equipment (Management / Support),"541711,541712"
AV17,R&D - Mining: Subsurface Mining Equipment (Commercialized),"541711,541712"
AV21,R&D - Mining: Surface Mining Equipment (Basic Research),"541711,541712"
AV22,R&D - Mining: Surface Mining Equipment (Applied Research / Exploratory Development),"541711,541712"
AV23,R&D - Mining: Surface Mining Equipment (Advanced Development),"541711,541712"
AV24,R&D - Mining: Surface Mining Equipment (Engineering Development),"541711,541712"
AV25,R&D - Mining: Surface Mining Equipment (Operational Systems Development),"541711,541712"
AV26,R&D - Mining: Surface Mining Equipment (Management / Support),"541711,541712"
AV27,R&D - Mining: Surface Mining Equipment (Commercialized),"541711,541712"
AV31,R&D - Mining: Subsurface Mining Methods (Basic Research),"541711,541712"
AV32,R&D - Mining: Subsurface Mining Methods (Applied Research / Exploratory Development),"541711,541712"
AV33,R&D - Mining: Subsurface Mining Methods (Advanced Development),"541711,541712"
AV34,R&D - Mining: Subsurface Mining Methods (Engineering Development),"541711,541712"
AV35,R&D - Mining: Subsurface Mining Methods (Operational Systems Development),"541711,541712"
AV36,R&D - Mining: Subsurface Mining Methods (Management / Support),"541711,541712"
AV37,R&D - Mining: Subsurface Mining Methods (Commercialized),"541711,541712"
AV41,R&D - Mining: Surface Mining Methods (Basic Research),"541711,541712"
AV42,R&D - Mining: Surface Mining Methods (Applied Research / Exploratory Development),"541711,541712"
AV43,R&D - Mining: Surface Mining Methods (Advanced Development),"541711,541712"
AV44,R&D - Mining: Surface Mining Methods (Engineering Development),"541711,541712"
AV45,R&D - Mining: Surface Mining Methods (Operational Systems Development),"541711,541712"
AV46,R&D - Mining: Surface Mining Methods (Management / Support),"541711,541712"
AV47,R&D - Mining: Surface Mining Methods (Commercialized),"541711,541712"
AV51,R&D - Mining: Mining Reclamation Methods (Basic Research),"541711,541712"
AV52,R&D - Mining: Mining Reclamation Methods (Applied Research / Exploratory Development),"541711,541712"
AV53,R&D - Mining: Mining Reclamation Methods (Advanced Development),"541711,541712"
AV54,R&D - Mining: Mining Reclamation Methods (Engineering Development),"541711,541712"
AV55,R&D - Mining: Mining Reclamation Methods (Operational Systems Development),"541711,541712"
AV56,R&D - Mining: Mining Reclamation Methods (Management / Support),"541711,541712"
AV57,R&D - Mining: Mining Reclamation Methods (Commercialized),"541711,541712"
AV61,R&D - Mining: Mining Safety (Basic Research),"541711,541712"
AV62,R&D - Mining: Mining Safety (Applied Research / Exploratory Development),"541711,541712"
AV63,R&D - Mining: Mining Safety (Advanced Development),"541711,541712"
AV64,R&D - Mining: Mining Safety (Engineering Development),"541711,541712"
AV65,R&D - Mining: Mining Safety (Operational Systems Development),"541711,541712"
AV66,R&D - Mining: Mining Safety (Management / Support),"541711,541712"
AV67,R&D - Mining: Mining Safety (Commercialized),"541711,541712"
AV71,R&D - Mining: Metallurgical (Basic Research),"541711,541712"
AV72,R&D - Mining: Metallurgical (Applied Research / Exploratory Development),"541711,541712"
AV73,R&D - Mining: Metallurgical (Advanced Development),"541711,541712"
AV74,R&D - Mining: Metallurgical (Engineering Development),"541711,541712"
AV75,R&D - Mining: Metallurgical (Operational Systems Development),"541711,541712"
AV76,R&D - Mining: Metallurgical (Management / Support),"541711,541712"
AV77,R&D - Mining: Metallurgical (Commercialized),"541711,541712"
AV91,R&D - Mining: Other Mining Activities (Basic Research),"541711,541712"
